race_year,race_name,race_date,circuit_location,driver_name,driver_number,driver_nationality,team,grid,fastest_lap,race_time,points,position,current_date
2020,Eifel Grand Prix,2020-10-11T13:10:00.000-07:00,Nürburg,Max Verstappen,33,Dutch,Red Bull,3,60,+4.470,19.0,2,2024-07-12T11:40:19.668-07:00
2020,Bahrain Grand Prix,2020-11-29T14:10:00.000-08:00,Sakhir,Max Verstappen,33,Dutch,Red Bull,3,48,+1.254,19.0,2,2024-07-12T11:40:19.668-07:00
2019,Australian Grand Prix,2019-03-17T05:10:00.000-07:00,Melbourne,Lewis Hamilton,44,British,Mercedes,1,57,+20.886,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Bahrain Grand Prix,2019-03-31T15:10:00.000-07:00,Sakhir,Valtteri Bottas,77,Finnish,Mercedes,4,42,+2.980,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Chinese Grand Prix,2019-04-14T06:10:00.000-07:00,Shanghai,Valtteri Bottas,77,Finnish,Mercedes,1,38,+6.552,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Azerbaijan Grand Prix,2019-04-28T12:10:00.000-07:00,Baku,Lewis Hamilton,44,British,Mercedes,2,48,+1.524,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Spanish Grand Prix,2019-05-12T13:10:00.000-07:00,Montmeló,Valtteri Bottas,77,Finnish,Mercedes,1,55,+4.074,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Monaco Grand Prix,2019-05-26T13:10:00.000-07:00,Monte-Carlo,Sebastian Vettel,5,German,Ferrari,4,9,+2.602,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Canadian Grand Prix,2019-06-09T18:10:00.000-07:00,Montreal,Sebastian Vettel,5,German,Ferrari,1,57,+3.658,18.0,2,2024-07-12T11:40:19.668-07:00
2019,French Grand Prix,2019-06-23T13:10:00.000-07:00,Le Castellet,Valtteri Bottas,77,Finnish,Mercedes,2,43,+18.056,18.0,2,2024-07-12T11:40:19.668-07:00
2019,Austrian Grand Prix,2019-06-30T13:10:00.000-07:00,Spielburg,Charles Leclerc,16,Monegasque,Ferrari,1,58,+2.724,18.0,2,2024-07-12T11:40:19.668-07:00
